"","X_source","X_pageUrl","title","author","fandoms","date_updated","date_updated._source","tags","summary","language","words","words._source","chapters","comments","comments._source","kudos","kudos._source","bookmarks","bookmarks._source","hits","hits._source"
"11","GameOfThrones_Crawler0808","https://archiveofourown.org/tags/Game%20of%20Thrones%20(TV)/works?page=2","Matematica che (splendida) tragedia!","Moe89","Fandoms: Game of Thrones (TV)",1.438992e+12,"8 Aug 2015","Creator Chose Not To Use Archive Warnings Arya Stark/Gendry Waters Arya Stark Gendry Waters Alternate Universe - College/University","Dal testo: Gendry e la matematica non erano mai state anime affini anzi... Più di una volta si erano ritrovati a dichiararsi lotta aperta e purtroppo per lui la materia aveva sempre vinto. Eppure quando aveva saputo che Arya Stark una ragazzina del primo anno divenuta famosa in tutta la scuola per il suo coraggio (o per la sua stupidità dipendeva dai punti di vista) e la sua voglia di attaccar briga stava cercando un tutor che le desse ripetizioni Gendry si era proposto immediatamente. ","Italiano",608,608,"1/1",0,NA,1,1,0,NA,40,40
"12","GameOfThrones_Crawler0808","https://archiveofourown.org/tags/Game%20of%20Thrones%20(TV)/works?page=2","Daffodils","icelos","Fandoms: Game of Thrones (TV)",1.438992e+12,"8 Aug 2015","No Archive Warnings Apply Loras Tyrell/Jamie Lannister Loras Tyrell Jamie Lannister","10 sneaky hook ups on how to deceive the mind as one deceives the heart.","English",1199,1199,"1/1",1,1,3,3,0,NA,22,22
"13","GameOfThrones_Crawler0808","https://archiveofourown.org/tags/Game%20of%20Thrones%20(TV)/works?page=2","Winds of Change","SnowWhiteKnight","Fandoms: Game of Thrones (TV) A Song of Ice and Fire - George R. R. Martin A Song of Ice and Fire & Related Fandoms",1.438992e+12,"8 Aug 2015","Major Character Death Sandor Clegane/Sansa Stark Tyrion Lannister/Shae Jaime Lannister/Brienne of Tarth Sansa Stark Sandor Clegane Tyrion Lannister Shae (ASoIaF) Jaime Lannister Brienne of Tarth Cersei Lannister Arya Stark Shae (Game of Thrones) Alternate Universe - Canon Divergence Violence Sexual Content POV Sandor Relationship(s) Alternate Universe Alternate Reality Minor Character Death","Sandor stays and fights at the Battle of the Blackwater causing ripples of change throughout Westeros. Daily Updates unless otherwise noted.","English",57912,57912,"61/?",307,307,409,409,30,30,15998,15998
"14","GameOfThrones_Crawler0808","https://archiveofourown.org/tags/Game%20of%20Thrones%20(TV)/works?page=2","Five In The Morning","danigreyjoy","Fandoms: A Song of Ice and Fire Game of Thrones (TV) Asoiaf - Fandom GoT - Fandom",1.438992e+12,"8 Aug 2015","No Archive Warnings Apply Theon Greyjoy/Robb Stark Theon Greyjoy Robb Stark Fluff sort of Sleepy Kisses Alternate Universe - Modern Setting","Robb wakes up before Theon and likes to watch him sleep. Very short fic based on a Tumblr OTPPrompts post.","English",556,556,"1/1",2,2,10,10,0,NA,144,144
"15","GameOfThrones_Crawler0808","https://archiveofourown.org/tags/Game%20of%20Thrones%20(TV)/works?page=2","(D)Alliance","charleybradburies","Fandoms: A Song of Ice and Fire - George R. R. Martin A Song of Ice and Fire & Related Fandoms Game of Thrones (TV)",1.438992e+12,"8 Aug 2015","Underage Sansa Stark/Margaery Tyrell Sansa Stark & Loras Tyrell Catelyn Stark/Ned Stark Ned Stark & Sansa Stark Loras Tyrell & Margaery Tyrell Sansa Stark Mace Tyrell Ned Stark Catelyn Tully Stark Margaery Tyrell Loras Tyrell Femslash Secret Relationship Secrets Community: femslash100 Community: 1_million_words Sansa-centric POV Sansa Period-Typical Homophobia Period-Typical Underage Alternate Universe Alternate Universe - Canon Divergence Internalized Homophobia Male Homosexuality Homosexuality Female Homosexuality Implied/Referenced Homophobia Presents Marriage Proposal Marriage Arranged Marriage Marriage of Convenience Fake Marriage Fake/Pretend Relationship Platonic Female/Male Relationships House Tyrell House Stark Inter-House Unity Alliances Manipulation Family Family Secrets Meet the Family Drabble","femslash100 drabble tag #6 (#77): Margaery/Sansa: Silk (+ #32: Covers)","English",250,250,"1/1",2,2,9,9,0,NA,138,138
"16","GameOfThrones_Crawler0808","https://archiveofourown.org/tags/Game%20of%20Thrones%20(TV)/works?page=4","Jaime/Brienne ficlets","Chrisoel","Fandoms: A Song of Ice and Fire - George R. R. Martin Game of Thrones (TV)",1438905600000,"7 Aug 2015","Creator Chose Not To Use Archive Warnings Jaime Lannister/Brienne of Tarth Jaime Lannister Brienne of Tarth Ficlet Collection Alternate Universe - Modern Setting","A collection of Jaime/Brienne ficlets (like you might have guessed from the title). I hope to add more soon.","English",3114,3114,"4/?",43,43,77,77,1,1,1233,1233
"17","GameOfThrones_Crawler0808","https://archiveofourown.org/tags/Game%20of%20Thrones%20(TV)/works?page=4","Catch Me if You Can","Janina","Fandoms: Game of Thrones (TV)",1438905600000,"7 Aug 2015","Creator Chose Not To Use Archive Warnings Jon Snow/Sansa Stark Talisa Maegyr/Robb Stark Jon Snow Sansa Stark Robb Stark Talisa Maegyr Theon Greyjoy Jeyne Westerling Jaime Lannister Margaery Tyrell A little bit Emma A little bit Mansfield Park A little bit Pride & Prejudice regency england Jon is not so passive Theon is a bit like Reek","Set in the countryside of Regency England Jon Snow has been in love with Sansa Stark for as long as he can remember. He wants her as his wife but Sansa is not sure she wants to be a wife at all and she knows she doesn’t want to marry the pragmatic and boring Jon. She’d rather help Theon Greyjoy come out of his shell and play matchmaker. But then Jaime Lannister comes to town and Jon finds he has some serious competition for Sansa…","English",5760,5760,"3/?",13,13,70,70,3,3,1041,1041
"18","GameOfThrones_Crawler0808","https://archiveofourown.org/tags/Game%20of%20Thrones%20(TV)/works?page=4","Sons and Deadmen","DoubleBit","Fandoms: Game of Thrones (TV) A Song of Ice and Fire - George R. R. Martin",1438905600000,"7 Aug 2015","Graphic Depictions Of Violence Underage Major Character Death Rape/Non-Con Theon Greyjoy/Robb Stark Theon Greyjoy/Jon Snow Ramsay Bolton/Theon Greyjoy Ramsay Bolton/Reek Jon Snow/Robb Stark Alternate Universe - Modern Setting Drug Use Imprisonment Mutilation Amputation Castration Car Accidents Trauma Stockholm Syndrome Miscarriage Cutting Self-Harm Incest Alcohol Abuse/Alcoholism Alternate Universe - Mafia Rape Non-con/dub-con Torture Blood and Gore Emotional/Psychological Abuse General graphic violence Statutory Rape","Theon finds himself working as a driver for the family that took him hostage. Complications arise when he learns a secret that tests his loyalty. A/N: I've cleaned up my tags a little doing my best to hit all the major ones but please let me know if there's something big I've missed. I personally do not have triggers so they can sometimes be difficult for me to spot. If you're squicked by graphic sexualized Thramsay you probably won't enjoy the middle third of this fic (Chapters 9 thru 17 with references to abuse continuing through the end.) Take care everyone!","English",148177,148177,"29/29",869,869,765,765,110,110,23950,23950
"19","GameOfThrones_Crawler0808","https://archiveofourown.org/tags/Game%20of%20Thrones%20(TV)/works?page=4","For His Honour","dizzyDG","Fandoms: Game of Thrones (TV) A Song of Ice and Fire - George R. R. Martin A Song of Ice and Fire & Related Fandoms",1438905600000,"7 Aug 2015","No Archive Warnings Apply Robb Stark/Jeyne Westerling Roslin Frey/Robb Stark Edmure Tully/Alys Karstark Robb Stark Jeyne Westerling Roslin Frey Catelyn Tully Stark Edmure Tully Alys Karstark Rickard Karstark Olyvar Frey Alternate Universe - Canon Divergence","“You’re betrothed” Jeyne stated coldly and the two words stung him like a slap in the face. “A promise made to a woman I don’t even have a name for” he retorted pulling himself up furiously to face her as she shook her head. “But a promise nonetheless” she said quietly. Jeyne refuses to become Robb's wife instead becoming his lover until such time he must honour his promise to Walder Frey.","English",83011,83011,"20/?",43,43,111,111,13,13,4406,4406
"20","GameOfThrones_Crawler0808","https://archiveofourown.org/tags/Game%20of%20Thrones%20(TV)/works?page=4","Grounded","Sophie_Of_Tarth","Fandoms: A Song of Ice and Fire - George R. R. Martin Game of Thrones (TV)",1438905600000,"7 Aug 2015","Creator Chose Not To Use Archive Warnings Jaime Lannister/Brienne of Tarth Jaime Lannister Brienne of Tarth Space Opera Female Character In Command Alternate Universe","Where the region of space known as the Stormlands abuts with the sector known as the Reach a woefully small force patrol the area to try and deter the activities of the pirates and privateers preying on isolated settlements and unprotected craft. After three days of dog fights and dirty tricks with a Westerlander privateer vessel Captain Brienne Tarth has finally managed to bring her prisoners into custody....","English",8335,8335,"5/?",76,76,101,101,7,7,1150,1150
